No.species	Species	Ploidy	Accession name	Order	Family	Clade
1	Abeliophyllum distichum	-	-	Lamiales	Oleaceae	Abeliophyllum
2	Abelmoschus esculentus	-	cultivar 'Wufu'	Malvales	Malvaceae	Abelmoschus
3	Abies alba	diploid	-	Pinales	Pinaceae	Abies
4	Abrus cantoniensis	-	cultivar: JGC-3	Fabales	Fabaceae	Abrus
5	Abrus precatorius	-	-	Fabales	Fabaceae	Abrus
6	Acacia confusa	diploid	Taiwan Acacia	Fabales	Fabaceae	Acacia
7	Acacia crassicarpa	diploid	Acra3RX	Fabales	Fabaceae	Acacia
7	Acacia crassicarpa	tetraploid	transformable northern wattle	Fabales	Fabaceae	Acacia
8	Acacia pycnantha	-	-	Fabales	Fabaceae	Acacia
9	Acanthochlamys bracteata	diploid	-	Pandanales	Velloziaceae	Acanthochlamys
9	Acanthochlamys bracteata	tetraploid	-	Pandanales	Velloziaceae	Acanthochlamys
10	Acer catalpifolium	diploid	-	Sapindales	Sapindaceae	Acer
11	Acer negundo	diploid	-	Sapindales	Sapindaceae	Acer
11	Acer negundo	-	box elder	Sapindales	Sapindaceae	Acer
12	Acer palmatum	diploid	-	Sapindales	Sapindaceae	Acer
13	Acer pentaphyllum	diploid	-	Sapindales	Sapindaceae	Acer
14	Acer pseudosieboldianum	diploid	-	Sapindales	Sapindaceae	Acer
15	Acer rubrum	hexaploid	-	Sapindales	Sapindaceae	Acer
16	Acer saccharum	-	-	Sapindales	Sapindaceae	Acer
16	Acer saccharum	-	sugar maple	Sapindales	Sapindaceae	Acer
17	Acer truncatum	-	-	Sapindales	Sapindaceae	Acer
18	Acer yangbiense	-	-	Sapindales	Sapindaceae	Acer
19	Achnatherum splendens	-	-	Poales	Poaceae	Achnatherum
20	Aconitum vilmorinianum	-	-	Ranunculales	Ranunculaceae	Aconitum
21	Acorus gramineus	diploid	JQP20200401GX	Acorales	Acoraceae	Acorus
22	Acorus tatarinowii	diploid	-	Acorales	Acoraceae	Acorus
23	Actinidia arguta	tetraploid	var. hypoleuca	Ericales	Actinidiaceae	Actinidia
23	Actinidia arguta	diploid	-	Ericales	Actinidiaceae	Actinidia
