No.species	Species	Taxonomy ID	Ploidy	Accession name	Order	Family	Clade
1812	Tagetes erecta	13708	diploid	Lucheng No. 1	Caryophyllales	Tamaricaceae	Tagetes
1813	Taihangia rupestris var. ciliata	2509618	-	-	Rosales	Rosaceae	Taihangia
1814	Takakia lepidozioides	37425	-	-	Asterales	Asteraceae	Takakia
1815	Tamarix austromongolica	262213	-	-	Caryophyllales	Tamaricaceae	Tamarix
1816	Tamarix chinensis	189791	-	-	Crossosomatales	Staphyleaceae	Tamarix
1817	Tanacetum cinerariifolium	118510	-	-	Asterales	Asteraceae	Tanacetum
1818	Tapiscia sinensis	112844	diploid	TK1151	Asterales	Asteraceae	Tapiscia
1819	Taraxacum kok-saghyz	333970	triploid	TM5	Asterales	Asteraceae	Taraxacum
1820	Taraxacum mongolicum	90037	-	-	Brassicales	Cleomaceae	Taraxacum
1821	Taraxacum officinale	50225	-	-	Santalales	Loranthaceae	Taraxacum
1822	Tarenaya hassleriana	28532	diploid	-	Cupressales	Taxaceae	Tarenaya
1823	Taxillus chinensis	227909	-	-	Cupressales	Taxaceae	Taxillus
1824	Taxus chinensis	29808	-	-	Cupressales	Taxaceae	Taxus
1825	Taxus wallichiana	147273	diploid	-	Lamiales	Lamiaceae	Taxus
1826	Taxus yunnanensis	-	diploid	HCNGB_00001711	Lamiales	Lamiaceae	Taxus
1827	Tectona grandis	41396	diploid	-	Proteales	Proteaceae	Tectona
1828	Telopea speciosissima	54955	-	-	Trochodendrales	Trochodendraceae	Telopea
1829	Tetrabaena socialis	47790	-	-	Trochodendrales	Trochodendraceae	Tetrabaena
1830	Tetracentron sinense	13715	-	385-62	Trochodendrales	Trochodendraceae	Tetracentron
1831	Tetracme quadricornis	358676	diploid	-	Brassicales	Brassicaceae	Tetracme
1832	Tetradesmus acuminatus	-	tetraploid	-	Zygophyllales	Zygophyllaceae	Tetradesmus
1833	Tetradesmus obliquus	3088	-	-	Parmales	-	Tetradesmus
1834	Tetraena mongolica	66646	-	-	Chlorodendrales	Chlorodendraceae	Tetraena
1835	Tetraparma gracilis	2962635	diploid	female	Vitales	Vitaceae	Tetraparma
1836	Tetraselmis striata	3165	-	-	Zingiberales	Marantaceae	Tetraselmis
1837	Tetrastigma hemsleyanum	1006121	diploid	-	Ranunculales	Ranunculaceae	Tetrastigma
1838	Teucrium marum	711380	diploid	cat thyme	Lamiales	Labiatae	Teucrium
1839	Thalassia testudinum	55497	diploid	-	Alismatales	Hydrocharitaceae	Thalassia
1840	Thalia dealbata	210077	diploid	WT478	Ranunculales	Ranunculaceae	Thalia
1841	Thalictrum thalictroides	46969	-	-	Brassicales	Brassicaceae	Thalictrum
1842	Thellungiella parvula	-	-	-	Brassicales	Brassicaceae	Thellungiella
1843	Thellungiella salsuginea	-	-	TtPh16-4	Poales	Poaceae	Thellungiella
1844	Themeda triandra	106636	diploid	Matina 1-6	Malvales	Malvaceae	Themeda
1845	Theobroma cacao	3641	diploid	update B97-61/B2;v2	Malvales	Malvaceae	Theobroma
1846	Theobroma grandiflorum	108881	diploid	cupuassu	Malvales	Malvaceae	Theobroma
1847	Thinopyrum elongatum	4588	diploid	-	Brassicales	Brassicaceae	Thinopyrum
1848	Thlaspi arvense	13288	diploid	LiJ461	Brassicales	Brassicaceae	Thlaspi
1849	Thuja plicata	3316	-	-	Saxifragales	Saxifragaceae	Thuja
1850	Thymus mandschuricus	532139	-	-	Brassicales	Labiatae	Thymus
1851	Thymus mongolicus	532141	diploid	-	Lamiales	Lamiaceae	Thymus
1852	Thymus quinquecostatus	228974	-	var. ciliata	Sapindales	Meliaceae	Thymus
1853	Tiarella polyphylla	61222	diploid	-	Sapindales	Meliaceae	Tiarella
1854	Tillandsia duratii	294049	-	-	Poales	Bromeliaceae	Tillandsia
1855	Tillandsia fasciculata	220113	diploid	-	Poales	Bromeliaceae	Tillandsia
1856	Tillandsia leiboldiana	1842917	diploid	-	Poales	Bromeliaceae	Tillandsia
1857	Tinospora sagittata	-	tetraploid	-	Ranunculales	Menispermaceae	Tinospora
1858	Toniniopsis dissimilis	2906772	-	-	-	-	Toniniopsis
1859	Toona ciliata	67918	-	-	Cupressales	Taxaceae	Toona
1860	Toona fargesii	3003557	diploid	honghua xiangchun	Sapindales	Meliaceae	Toona
1861	Toona sinensis	443222	-	-	Sapindales	Anacardiaceae	Toona
1862	Torenia fournieri	68875	diploid	wishbone flower	Lamiales	Scrophulariaceae	Torenia
1863	Torreya grandis	58047	diploid	Gaobachi(female)	Sapindales	Anacardiaceae	Torreya
1864	Toxicodendron radicans	43853	-	-	Myrtales	Lythraceae	Toxicodendron
1865	Toxicodendron succedaneum 'Japan'	-	diploid	-	Sapindales	Anacardiaceae	Toxicodendron
1866	Toxicodendron succedaneum 'Vietnam'	-	diploid	-	Sapindales	Anacardiaceae	Toxicodendron
1867	Toxicodendron vernicifluum	4013	diploid	-	Myrtales	Lythraceae	Toxicodendron
1868	Toxicodendron vernicifluum 'Dali'	-	diploid	-	Sapindales	Anacardiaceae	Toxicodendron
1869	Trapa bicornis	236974	diploid	-	Myrtales	Lythraceae	Trapa
1870	Trapa incisa	236973	-	-	Myrtales	Lythraceae	Trapa
1871	Trapa natans	22666	tetraploid	-	Rosales	Cannabaceae	Trapa
1872	Trebouxia sp (TrespOTU1)	-	-	-	Trebouxiales	-	Trebouxia
1873	Trebouxia sp (TrespOTU3)	-	-	-	Trebouxiales	-	Trebouxia
1874	Trebouxia sp (TrespOTU5)	-	-	-	Trebouxiales	-	Trebouxia
1875	Trema orientalis	-	-	-	Dioscoreales	Dioscoreaceae	Trema
1876	Triadica sebifera	139772	-	-	Cucurbitales	Cucurbitaceae	Triadica
1877	Trichopus zeylanicus	167602	octoploid	-	Fabales	Fabaceae	Trichopus
1878	Trichosanthes anguina	50544	diploid	-	Fabales	Fabaceae	Trichosanthes
1879	Trichosanthes truncata	685060	-	the pointed leaf gourd	Cucurbitales	Cucurbitaceae	Trichosanthes
1880	Trifolium alexandrinum	97006	-	Egyptian clover	Fabales	Fabaceae	Trifolium
1881	Trifolium medium	97028	diploid	-	Fabales	Fabaceae	Trifolium
1882	Trifolium occidentale	74524	diploid	Tatra	Fabales	Fabaceae	Trifolium
1883	Trifolium pallescens	74526	diploid	Milvus	Fabales	Fabaceae	Trifolium
1884	Trifolium pratense	57577	diploid	HEN17-A07	Fabales	Fabaceae	Trifolium
1885	Trifolium repens	3899	tetraploid	haplotype 1	Fabales	Fabaceae	Trifolium
1886	Trifolium subterraneum	3900	diploid	TSUd_3.0(improved)	Fabales	Fabaceae	Trifolium
1887	Triparma columacea	722753	-	-	Parmales	Triparmaceae	Triparma
1888	Triparma laevis	1534972	-	-	Parmales	Triparmaceae	Triparma
1889	Triparma strigata	1606541	-	-	Celastrales	Celastraceae	Triparma
1890	Triparma verrucosa	1606542	-	-	Celastrales	Celastraceae	Triparma
1891	Triplostegia glandulifera	59180	diploid	-	Dipsacales	Caprifoliaceae	Triplostegia
1892	Tripterygium sp.	-	hexaploid	Chinese Spring	Poales	Poaceae	Tripterygium
1893	Tripterygium wilfordii	458696	hexaploid	update CS	Poales	Poaceae	Tripterygium
1894	Triticum aestivum	4565	hexaploid	update CS;v4	Poales	Poaceae	Triticum
1895	Triticum monococcum	4568	diploid	PI 306540	Poales	Poaceae	Triticum
1896	Triticum timopheevii	4570	diploid	-	Poales	Poaceae	Triticum
1897	Triticum turgidum	4571	diploid	G1812	Poales	Poaceae	Triticum
1898	Triticum urartu	4572	diploid	-	Trochodendrales	Trochodendraceae	Triticum
1899	Trochodendron aralioides	4407	diploid	-	Brassicales	Brassicaceae	Trochodendron
1900	Turnera subulata	218843	diploid	-	Poales	Typhaceae	Turnera
1901	Turritis glabra	63678	diploid	-	Poales	Typhaceae	Turritis
1902	Typha angustifolia	59011	-	-	Rosales	Ulmaceae	Typha
1903	Typha latifolia	4733	-	-	Ulvales	Ulvaceae	Typha
1904	Ulmus americana	29740	-	-	Ulvales	Ulvaceae	Ulmus
1905	Ulva compressa	63659	-	-	Ulvales	Ulvaceae	Ulva
