No.species	Species	Taxonomy ID	Ploidy	Accession name	Order	Family	Clade
1	Abeliophyllum distichum	126358	-	-	Lamiales	Oleaceae	Abeliophyllum
2	Abelmoschus esculentus	455045	-	cultivar 'Wufu'	Malvales	Malvaceae	Abelmoschus
3	Abies alba	45372	diploid	-	Pinales	Pinaceae	Abies
4	Abrus cantoniensis	-	-	cultivar: JGC-3	Fabales	Fabaceae	Abrus
5	Abrus precatorius	3816	-	-	Fabales	Fabaceae	Abrus
6	Acacia confusa	3809	diploid	Taiwan Acacia	Fabales	Fabaceae	Acacia
7	Acacia crassicarpa	499986	diploid	Acra3RX	Fabales	Fabaceae	Acacia
7	Acacia crassicarpa	499986	tetraploid	transformable northern wattle	Fabales	Fabaceae	Acacia
8	Acacia pycnantha	880440	-	-	Fabales	Fabaceae	Acacia
9	Acanthochlamys bracteata	145231	diploid	-	Pandanales	Velloziaceae	Acanthochlamys
9	Acanthochlamys bracteata	145231	tetraploid	-	Pandanales	Velloziaceae	Acanthochlamys
10	Acer catalpifolium	-	diploid	-	Sapindales	Sapindaceae	Acer
11	Acer negundo	4023	diploid	-	Sapindales	Sapindaceae	Acer
11	Acer negundo	4023	-	box elder	Sapindales	Sapindaceae	Acer
12	Acer palmatum	66201	diploid	-	Sapindales	Sapindaceae	Acer
13	Acer pentaphyllum	134798	diploid	-	Sapindales	Sapindaceae	Acer
14	Acer pseudosieboldianum	47968	diploid	-	Sapindales	Sapindaceae	Acer
15	Acer rubrum	45314	hexaploid	-	Sapindales	Sapindaceae	Acer
16	Acer saccharum	4024	-	-	Sapindales	Sapindaceae	Acer
16	Acer saccharum	4024	-	sugar maple	Sapindales	Sapindaceae	Acer
17	Acer truncatum	47965	-	-	Sapindales	Sapindaceae	Acer
18	Acer yangbiense	1000413	-	-	Sapindales	Sapindaceae	Acer
19	Achnatherum splendens	-	-	-	Poales	Poaceae	Achnatherum
20	Aconitum vilmorinianum	226101	-	-	Ranunculales	Ranunculaceae	Aconitum
21	Acorus gramineus	55184	diploid	JQP20200401GX	Acorales	Acoraceae	Acorus
22	Acorus tatarinowii	123564	diploid	-	Acorales	Acoraceae	Acorus
23	Actinidia arguta	64478	tetraploid	var. hypoleuca	Ericales	Actinidiaceae	Actinidia
23	Actinidia arguta	64478	diploid	-	Ericales	Actinidiaceae	Actinidia
23	Actinidia arguta	64478	diploid	-	Ericales	Actinidiaceae	Actinidia
23	Actinidia arguta	64478	diploid	-	Ericales	Actinidiaceae	Actinidia
23	Actinidia arguta	64478	diploid	-	Ericales	Actinidiaceae	Actinidia
23	Actinidia arguta	64478	tetraploid	-	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	Hongyang	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	Red5	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	update Hongyang	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	cv. 'Hongyang';(improved;Hongyang v4.0);HY4P(haplotypes)	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	cv. 'Hongyang';(improved;Hongyang v4.0);HY4A(haplotypes)	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	var. 'Donghong'	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	var. deliciosa	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	-	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	-	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	-	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	-	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	-	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	-	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	-	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	-	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	-	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	-	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	-	Ericales	Actinidiaceae	Actinidia
24	Actinidia chinensis	3625	diploid	-	Ericales	Actinidiaceae	Actinidia
25	Actinidia eriantha	165200	diploid	-	Ericales	Actinidiaceae	Actinidia
25	Actinidia eriantha	165200	hexaploid	-	Ericales	Actinidiaceae	Actinidia
26	Actinidia hemsleyana	165707	diploid	CYMHT	Ericales	Actinidiaceae	Actinidia
27	Actinidia latifolia	165711	diploid	Kuoye	Ericales	Actinidiaceae	Actinidia
28	Actinidia polygama	64480	hexaploid	male	Ericales	Actinidiaceae	Actinidia
29	Actinidia rufa	165716	-	male	Ericales	Actinidiaceae	Actinidia
30	Actinidia zhejiangensis	165720	diploid	ZJMHT	Ericales	Actinidiaceae	Actinidia
31	Adansonia digitata	69109	tetraploid	Baobab	Malvales	Malvaceae	Adansonia
31	Adansonia digitata	69109	tetraploid	Baobab	Malvales	Malvaceae	Adansonia
31	Adansonia digitata	69109	tetraploid	Baobab	Malvales	Malvaceae	Adansonia
31	Adansonia digitata	69109	tetraploid	Baobab	Malvales	Malvaceae	Adansonia
31	Adansonia digitata	69109	tetraploid	Baobab	Malvales	Malvaceae	Adansonia
32	Adenophora triphylla	187269	-	Japanese Lady Bell	Asterales	Campanulaceae	Adenophora
33	Adenosma buchneroides	-	-	-	Lamiales	Plantaginaceae	Adenosma
34	Adiantum capillus-veneris	13818	diploid	-	Polypodiales	Pteridaceae	Adiantum
35	Adiantum nelumboides	2759587	-	-	Polypodiales	Pteridaceae	Adiantum
36	Aechmea fasciata	326768	diploid	-	Poales	Bromeliaceae	Aechmea
37	Aegiceras corniculatum	59970	hexaploid	-	Ericales	Primulaceae	Aegiceras
37	Aegiceras corniculatum	59970	-	-	Ericales	Primulaceae	Aegiceras
37	Aegiceras corniculatum	59970	diploid	-	Ericales	Primulaceae	Aegiceras
38	Aegilops bicornis	4483	diploid	TB01	Poales	Poaceae	Aegilops
39	Aegilops comosa	4485	diploid	-	Myrtales	Myrtaceae	Aegilops
40	Aegilops longissima	4486	diploid	TL05	Poales	Poaceae	Aegilops
41	Aegilops muticum	-	hexaploid	2130012 (JIC)	Poales	Poaceae	Aegilops
42	Aegilops searsii	4487	diploid	searsii	Poales	Poaceae	Aegilops
43	Aegilops sharonensis	58530	diploid	TH02	Poales	Poaceae	Aegilops
43	Aegilops sharonensis	58530	diploid	AS_1644	Poales	Poaceae	Aegilops
44	Aegilops speltoides	4573	diploid	TS01	Poales	Poaceae	Aegilops
44	Aegilops speltoides	4573	diploid	AEG-9674-1	Poales	Poaceae	Aegilops
44	Aegilops speltoides	4573	diploid	ssp. speltoides (Y2032)	Poales	Poaceae	Aegilops
44	Aegilops speltoides	4573	hexaploid	rye	Poales	Triticeae; Poaceae	Aegilops
45	Aegilops tauschii	37682	diploid	-	Poales	Poaceae	Aegilops
45	Aegilops tauschii	37682	diploid	update	Poales	Poaceae	Aegilops
45	Aegilops tauschii	37682	diploid	subsp. tauschii XJ02	Poales	Poaceae	Aegilops
45	Aegilops tauschii	37682	diploid	subsp. tauschii AY17	Poales	Poaceae	Aegilops
45	Aegilops tauschii	37682	diploid	subsp. strangulata T093	Poales	Poaceae	Aegilops
45	Aegilops tauschii	37682	diploid	subsp. strangulata AY61	Poales	Poaceae	Aegilops
45	Aegilops tauschii	37682	diploid	AL8/78 (Aet v5.0: improved)	Poales	Poaceae	Aegilops
46	Aegilops umbellulata	4491	diploid	TA1851	Poales	Poaceae	Aegilops
46	Aegilops umbellulata	4491	diploid	-	Poales	Poaceae	Aegilops
47	Aegle marmelos	68527	diploid	-	Sapindales	Rutaceae	Aegle
48	Aeonium arboreum	35945	triploid	Velour	Saxifragales	Crassulaceae	Aeonium
49	Aeschynomene evenia	561484	-	-	Fabales	Fabaceae	Aeschynomene
49	Aeschynomene evenia	561484	diploid	CIAT22838	Fabales	Fabaceae	Aeschynomene
50	Aesculus wilsonii	-	diploid	-	Sapindales	Sapindaceae	Aesculus
51	Aethionema arabicum	228871	-	Arabian rock mustard	Brassicales	Brassicaceae	Aethionema
51	Aethionema arabicum	228871	diploid	update	Brassicales	Brassicaceae	Aethionema
52	Agapanthus africanus	51501	tetraploid	-	Asparagales	Amaryllidaceae	Agapanthus
53	Agastache rugosa	39271	diploid	AG34	Lamiales	Lamiaceae	Agastache
54	Agave hybrid NO.11648	-	diploid	-	Asparagales	Asparagaceae	Agave hybrid
55	Ajuga decumbens	167911	diploid	-	Lamiales	Lamiaceae	Ajuga
56	Akebia trifoliata	155132	diploid	subsp. australis	Ranunculales	Lardizabalaceae	Akebia
56	Akebia trifoliata	155132	diploid	Shusen1	Ranunculales	Lardizabalaceae	Akebia
57	Albizia julibrissin	3813	-	silk tree	Fabales	Fabaceae	Albizia
58	Aldrovanda vesiculosa	173386	-	-	Caryophyllales	Droseraceae	Aldrovanda
59	Algal Strain CCCryo 101-99	-	haploid	-	-	-	-
60	Alliaria petiolata	126270	-	-	Brassicales	Brassicaceae	Alliaria
61	Allium cepa	4679	diploid	DHCU066619	Asparagales	Amaryllidaceae	Allium
61	Allium cepa	4679	diploid	-	Asparagales	Amaryllidaceae	Allium
62	Allium fistulosum	35875	-	SXSJC	Asparagales	Amaryllidaceae	Allium
62	Allium fistulosum	35875	diploid	-	Asparagales	Amaryllidaceae	Allium
63	Allium sativum	4682	diploid	-	Asparagales	Amaryllidaceae	Allium
63	Allium sativum	4682	diploid	-	Asparagales	Amaryllidaceae	Allium
64	Alloteropsis semialata	435756	-	-	Poales	Poaceae	Alloteropsis
65	Alnus glutinosa	3517	tetraploid	-	Fagales	Betulaceae	Alnus
66	Alnus rubra	109069	diploid	clone 639	Fagales	Betulaceae	Alnus
67	Aloe vera	34199	diploid	-	Asparagales	Asphodelaceae	Aloe
68	Alopecurus aequalis	114194	-	shortawn foxtail ; orange foxtail	Poales	Poaceae	Alopecurus
69	Alopecurus myosuroides	81473	diploid	-	Poales	Poaceae	Alopecurus
70	Alpinia nigra	105678	tetraploid	-	Zingiberales	Zingiberaceae	Alpinia
71	Alpinia oxyphylla	125261	-	cultivar “changyuanguo	Zingiberales	Zingiberaceae	Alpinia
72	Alsophila spinulosa	204586	diploid	-	Cyatheales	Cyatheaceae	Alsophila
73	Alstonia scholaris	52822	diploid	-	Gentianales	Apocynaceae	Alstonia
74	Amaranthus cruentus	117272	diploid	Arusha	Caryophyllales	Amaranthaceae	Amaranthus
75	Amaranthus hybridus	3565	diploid	haplotype	Caryophyllales	Amaranthaceae	Amaranthus
76	Amaranthus hypochondriacus	28502	diploid	AhKP	Caryophyllales	Amaranthaceae	Amaranthus
76	Amaranthus hypochondriacus	28502	tetraploid	cultivar Plainsman (PI 558499)	Caryophyllales	Amaranthaceae	Amaranthus
76	Amaranthus hypochondriacus	28502	diploid	update cultivar Plainsman (PI 558499)	Caryophyllales	Amaranthaceae	Amaranthus
77	Amaranthus palmeri	107608	-	-	Caryophyllales	Amaranthaceae	Amaranthus
78	Amaranthus tricolor	29722	diploid	cv. Red	Caryophyllales	Amaranthaceae	Amaranthus
79	Amaranthus tuberculatus	277990	-	-	Caryophyllales	Amaranthaceae	Amaranthus
80	Amborella trichopoda	13333	-	-	Amborellales	Amborellaceae	Amborella
80	Amborella trichopoda	13333	-	-	Amborellales	Amborellaceae	Amborella
80	Amborella trichopoda	13333	-	-	Amborellales	Amborellaceae	Amborella
81	Ambrosia artemisiifolia	4212	diploid	-	Asterales	Asteraceae	Ambrosia
82	Ambrosia trifida	4214	diploid	giant ragweed	Asterales	Asteraceae	Ambrosia
82	Ambrosia trifida	4214	diploid	giant ragweed	Asterales	Asteraceae	Ambrosia
82	Ambrosia trifida	4214	diploid	-	Asterales	Asteraceae	Ambrosia
83	Ammopiptanthus mongolicus	126911	diploid	-	Fabales	Fabaceae	Ammopiptanthus
84	Ammopiptanthus nanus	111851	-	-	Fabales	Fabaceae	Ammopiptanthus
85	Amomum tsao-ko	-	tetraploid	-	Zingiberales	Zingiberaceae	Amomum
85	Amomum tsao-ko	-	-	-	Zingiberales	Zingiberaceae	Amomum
86	Amorphophallus konjac	78372	diploid	-	Alismatales	Araceae	Amorphophallus
87	Ampelocalamus luodianensis	387595	-	-	Poales	Poaceae	Ampelocalamus
88	Amphicarpaea edgeworthii	132429	-	-	Fabales	Fabaceae	Amphicarpaea
89	Anacardium occidentale	171929	diploid	cultivar Bhaskara	Sapindales	Anacardiaceae	Anacardium
90	Ananas bracteatus	-	diploid	-	Poales	Bromeliaceae	Ananas
91	Ananas comosus	4615	diploid	F153	Poales	Bromeliaceae	Ananas
91	Ananas comosus	4615	diploid	MD2	Poales	Bromeliaceae	Ananas
91	Ananas comosus	4615	diploid	MD2 v2 P1 (phased 1; improved)	Poales	Bromeliaceae	Ananas
91	Ananas comosus	4615	diploid	MD2 v2 P0 (phased 0; improved)	Poales	Bromeliaceae	Ananas
91	Ananas comosus	4615	diploid	var. bracteatus f. tricolor (GL1)	Poales	Bromeliaceae	Ananas
91	Ananas comosus	4615	diploid	Yugafu (phase0 )	Poales	Bromeliaceae	Ananas
91	Ananas comosus	4615	diploid	Yugafu (phase1)	Poales	Bromeliaceae	Ananas
91	Ananas comosus	4615	diploid	HI101	Poales	Bromeliaceae	Ananas
91	Ananas comosus	4615	diploid	HI101	Poales	Bromeliaceae	Ananas
91	Ananas comosus	4615	diploid	Cream pineapple	Poales	Bromeliaceae	Ananas
91	Ananas comosus	4615	diploid	Cream pineapple	Poales	Bromeliaceae	Ananas
91	Ananas comosus	4615	haploid	Pineapple	Poales	Bromeliaceae	Ananas
92	Anastatica hierochuntica	663965	-	-	Brassicales	Brassicaceae	Anastatica
93	Ancylonema nordenskiöldii	-	-	glacier alga	-	-	-
