[2026-04-16 15:24:40] Abelmoschus esculentus | 455045 | 失败 | NCBI未找到
[2026-04-16 15:24:43] Abies alba | 45372 | 失败 | NCBI未找到
[2026-04-16 15:24:46] Abrus precatorius | 3816 | 失败 | NCBI未找到
[2026-04-16 15:24:49] Acacia crassicarpa | 499986 | 失败 | NCBI未找到
[2026-04-16 15:24:52] Acacia pycnantha | 880440 | 失败 | NCBI未找到
[2026-04-16 15:24:55] Acer palmatum | 66201 | 失败 | NCBI未找到
[2026-04-16 15:24:58] Acer pentaphyllum | 134798 | 失败 | NCBI未找到
[2026-04-16 15:25:01] Acer pseudosieboldianum | 47968 | 失败 | NCBI未找到
[2026-04-16 15:25:04] Acer rubrum | 45314 | 失败 | NCBI未找到
[2026-04-16 15:25:07] Aconitum vilmorinianum | 226101 | 失败 | NCBI未找到
[2026-04-16 15:25:10] Actinidia arguta | 64478 | 失败 | NCBI未找到
[2026-04-16 15:25:13] Actinidia hemsleyana | 165707 | 失败 | NCBI未找到
[2026-04-16 15:25:16] Actinidia latifolia | 165711 | 失败 | NCBI未找到
[2026-04-16 15:25:18] Actinidia polygama | 64480 | 失败 | NCBI未找到
[2026-04-16 15:25:21] Actinidia rufa | 165716 | 失败 | NCBI未找到
[2026-04-16 15:25:24] Actinidia zhejiangensis | 165720 | 失败 | NCBI未找到
[2026-04-16 15:25:27] Adansonia digitata | 69109 | 失败 | NCBI未找到
[2026-04-16 15:25:29] Adenophora triphylla | 187269 | 失败 | NCBI未找到
[2026-04-16 15:25:32] Adiantum nelumboides | 2759587 | 失败 | NCBI未找到
[2026-04-16 15:25:35] Aegiceras corniculatum | 59970 | 失败 | NCBI未找到
[2026-04-16 15:25:38] Aegilops searsii | 4487 | 失败 | NCBI未找到
[2026-04-16 15:25:41] Aegle marmelos | 68527 | 失败 | NCBI未找到
[2026-04-16 15:25:44] Aethionema arabicum | 228871 | 失败 | NCBI未找到
[2026-04-16 15:25:47] Ajuga decumbens | 167911 | 失败 | NCBI未找到
[2026-04-16 15:25:50] Aldrovanda vesiculosa | 173386 | 失败 | NCBI未找到
[2026-04-16 15:25:53] Alliaria petiolata | 126270 | 失败 | NCBI未找到
[2026-04-16 15:25:56] Alnus rubra | 109069 | 失败 | NCBI未找到
[2026-04-16 15:25:59] Aloe vera | 34199 | 失败 | NCBI未找到
[2026-04-16 15:26:02] Alpinia nigra | 105678 | 失败 | NCBI未找到
[2026-04-16 15:26:05] Alsophila spinulosa | 204586 | 失败 | NCBI未找到
[2026-04-16 15:26:07] Alstonia scholaris | 52822 | 失败 | NCBI未找到
[2026-04-16 15:26:10] Ammopiptanthus nanus | 111851 | 失败 | NCBI未找到
[2026-04-16 15:26:13] Anacardium occidentale | 171929 | 失败 | NCBI未找到
[2026-04-16 15:26:16] Anastatica hierochuntica | 663965 | 失败 | NCBI未找到
[2026-04-16 15:26:19] Angelica sinensis | 165353 | 失败 | NCBI未找到
[2026-04-16 15:26:21] Angraecum sesquipedale | 78697 | 失败 | NCBI未找到
[2026-04-16 15:26:25] Annona glabra | 301703 | 失败 | NCBI未找到
[2026-04-16 15:26:27] Annona muricata | 13337 | 失败 | NCBI未找到
[2026-04-16 15:26:30] Anthoceros agrestis | 41834 | 失败 | NCBI未找到
[2026-04-16 15:26:33] Anthoceros angustus | 48387 | 失败 | NCBI未找到
[2026-04-16 15:26:36] Anthoceros punctatus | 3234 | 失败 | NCBI未找到
[2026-04-16 15:26:39] Antirrhinum hispanicum | 49039 | 失败 | NCBI未找到
[2026-04-16 15:26:42] Antirrhinum linkianum | 102601 | 失败 | NCBI未找到
[2026-04-16 15:26:44] Antirrhinum majus | 4151 | 失败 | NCBI未找到
[2026-04-16 15:26:48] Apocynum hendersonii | 377127 | 失败 | NCBI未找到
[2026-04-16 15:26:51] Apostasia ramifera | 1920719 | 失败 | NCBI未找到
[2026-04-16 15:26:53] Apostasia shenzhenica | 1088818 | 失败 | NCBI未找到
[2026-04-16 15:26:56] Aquilaria sinensis | 210372 | 失败 | NCBI未找到
[2026-04-16 15:26:59] Aquilegia coerulea | 218851 | 失败 | NCBI未找到
[2026-04-16 15:27:02] Aquilegia oxysepala | 432649 | 失败 | NCBI未找到
[2026-04-16 15:27:04] Arabidopsis lyrata | 59689 | 失败 | NCBI未找到
[2026-04-16 15:27:07] Arbutus unedo | 84005 | 失败 | NCBI未找到
[2026-04-16 15:27:10] Arctostaphylos glauca | 89197 | 失败 | NCBI未找到
[2026-04-16 15:27:13] Aristolochia californica | 171875 | 失败 | NCBI未找到
[2026-04-16 15:27:15] Aristotelia chilensis | 138855 | 失败 | NCBI未找到
[2026-04-16 15:27:18] Artemisia annua | 35608 | 失败 | NCBI未找到
[2026-04-16 15:27:21] Artemisia selengensis | 637485 | 失败 | NCBI未找到
[2026-04-16 15:27:24] Artocarpus camansi | 709039 | 失败 | NCBI未找到
[2026-04-16 15:27:27] Artocarpus hirsutus | 291940 | 失败 | NCBI未找到
[2026-04-16 15:27:30] Artocarpus nanchuanensis | 1745975 | 失败 | NCBI未找到
[2026-04-16 15:27:33] Asparagus kiusianus | 272855 | 失败 | NCBI未找到
[2026-04-16 15:27:36] Asterochloris glomerata | 174040 | 失败 | NCBI未找到
[2026-04-16 15:27:38] Astragalus sinicus | 47065 | 失败 | NCBI未找到
[2026-04-16 15:27:41] Astrephomene gubernaculifera | 47775 | 失败 | NCBI未找到
[2026-04-16 15:27:44] Atractylodes lancea | 41486 | 失败 | NCBI未找到
[2026-04-16 15:27:47] Atriplex hortensis | 34272 | 失败 | NCBI未找到
[2026-04-16 15:27:50] Aubrieta canescens | 1076948 | 失败 | NCBI未找到
[2026-04-16 15:27:53] Aubrieta macrostyla | 3020387 | 失败 | NCBI未找到
[2026-04-16 15:27:56] Aurinia saxatilis | 169069 | 失败 | NCBI未找到
[2026-04-16 15:31:46] Avena sativa | 4498 | 失败 | NCBI未找到
[2026-04-16 15:31:50] Avena sterilis | 83444 | 失败 | ZIP文件无效
[2026-04-16 15:31:53] Averrhoa carambola | 28974 | 失败 | NCBI未找到
[2026-04-16 15:31:56] Avicennia alba | 139224 | 失败 | NCBI未找到
[2026-04-16 15:31:59] Avicennia germinans | 41378 | 失败 | NCBI未找到
[2026-04-16 15:32:02] Avicennia officinalis | 1134458 | 失败 | NCBI未找到
[2026-04-16 15:32:05] Azolla filiculoides | 84609 | 失败 | NCBI未找到
[2026-04-16 15:32:08] Balanophora fungosa | 29813 | 失败 | NCBI未找到
[2026-04-16 15:32:11] Balanophora subcupularis | 2874248 | 失败 | NCBI未找到
[2026-04-16 15:32:14] Bambusa odashimae | 1929884 | 失败 | NCBI未找到
[2026-04-16 15:32:17] Barringtonia asiatica | 79557 | 失败 | NCBI未找到
[2026-04-16 15:32:20] Barringtonia racemosa | 107821 | 失败 | NCBI未找到
[2026-04-16 15:32:23] Barthea barthei | 1898640 | 失败 | NCBI未找到
[2026-04-16 15:33:50] Bathycoccus prasinos | 41875 | 失败 | ZIP文件无效
[2026-04-16 15:33:53] Begonia darthvaderiana | 2905994 | 失败 | NCBI未找到
