[2026-04-16 17:57:35] Abeliophyllum distichum | 126358 | 跳过 | 已存在基因组
[2026-04-16 17:57:37] Artocarpus heterophyllus | 3489 | 跳过 | 已存在基因组
[2026-04-16 17:57:41] Abrus cantoniensis | - | 跳过 | 无TaxID
[2026-04-16 17:57:43] Acacia confusa | 3809 | 跳过 | 已存在基因组
[2026-04-16 17:57:45] Asclepias syriaca | - | 跳过 | 无TaxID
[2026-04-16 17:57:45] Asclepias syriaca | 48545 | 跳过 | 已存在基因组
[2026-04-16 17:57:47] Asparagus officinalis | 4686 | 跳过 | 已存在基因组
[2026-04-16 17:57:47] Asparagus setaceus | 272863 | 跳过 | 已存在基因组
[2026-04-16 17:57:47] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:47] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:47] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:47] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:47] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:47] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:47] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia eriantha | 165200 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia eriantha | 165200 | 跳过 | 已存在基因组
[2026-04-16 17:57:49] Acanthochlamys bracteata | 145231 | 跳过 | 已存在基因组
[2026-04-16 17:57:49] Acer catalpifolium | - | 跳过 | 无TaxID
[2026-04-16 17:57:49] Acer negundo | 4023 | 跳过 | 已存在基因组
[2026-04-16 17:57:52] Astragalus membranaceus | 649199 | 跳过 | 已存在基因组
[2026-04-16 17:57:58] Atalantia buxifolia | 76974 | 跳过 | 已存在基因组
[2026-04-16 17:58:00] Acer saccharum | 4024 | 跳过 | 已存在基因组
[2026-04-16 17:58:00] Acer truncatum | 47965 | 跳过 | 已存在基因组
[2026-04-16 17:58:00] Acer yangbiense | 1000413 | 跳过 | 已存在基因组
[2026-04-16 17:58:00] Achnatherum splendens | - | 跳过 | 无TaxID
[2026-04-16 17:58:02] Acorus gramineus | 55184 | 跳过 | 已存在基因组
[2026-04-16 17:58:02] Acorus tatarinowii | 123564 | 跳过 | 已存在基因组
[2026-04-16 17:58:05] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:58:05] Actinidia eriantha | 165200 | 跳过 | 已存在基因组
[2026-04-16 17:58:08] Atropa belladonna | 33113 | 跳过 | 已存在基因组
[2026-04-16 17:58:17] Australimusa bananas | - | 跳过 | 无TaxID
[2026-04-16 17:58:17] Avena atlantica | 366594 | 跳过 | 已存在基因组
[2026-04-16 17:58:17] Avena eriantha | 146534 | 跳过 | 已存在基因组
[2026-04-16 17:58:17] Avena insularis | 283872 | 跳过 | 已存在基因组
[2026-04-16 17:58:17] Avena longiglumis | 4500 | 跳过 | 已存在基因组
[2026-04-16 17:58:24] Adenosma buchneroides | - | 跳过 | 无TaxID
[2026-04-16 17:58:24] Adiantum capillus-veneris | 13818 | 跳过 | 已存在基因组
