[2026-04-15 13:22:25] Avicennia marina | 82927 | 成功 | 文件不完整
[2026-04-15 13:23:20] Azadirachta indica | 124943 | 成功 | 文件不完整
[2026-04-15 13:24:47] Barbarea vulgaris | 50459 | 成功 | 文件不完整
[2026-04-15 13:31:15] Bauhinia variegata | 167791 | 成功 | 文件完整
[2026-04-15 13:34:50] Begonia masoniana | 198562 | 成功 | 文件不完整
[2026-04-15 13:35:55] Begonia peltatifolia | 1406276 | 成功 | 文件不完整
[2026-04-15 13:40:11] Berberis thunbergii | 121720 | 成功 | 文件不完整
[2026-04-15 13:44:46] Berberis vulgaris | 258209 | 成功 | 文件不完整
[2026-04-15 15:28:59] Beta vulgaris | 161934 | 成功 | 文件完整
[2026-04-15 15:31:11] Betula pendula | 3505 | 成功 | 文件不完整
[2026-04-15 15:35:32] Biancaea sappan | 483143 | 成功 | 文件不完整
[2026-04-15 15:40:04] Boehmeria nivea | 83906 | 成功 | 文件不完整
[2026-04-15 15:43:11] Bolboschoenus planiculmis | 651555 | 成功 | 文件不完整
[2026-04-15 15:51:07] Bothriochloa decipiens | 883134 | 成功 | 文件不完整
[2026-04-15 15:54:54] Brachypodium distachyon | 15368 | 成功 | 文件完整
[2026-04-15 15:58:23] Brachypodium hybridum | 1071398 | 成功 | 文件不完整
[2026-04-15 15:59:17] Brachypodium stacei | 1071399 | 成功 | 文件不完整
[2026-04-15 16:18:53] Brassica carinata | 52824 | 成功 | 文件完整
