[2026-04-16 17:57:35] Abeliophyllum distichum | 126358 | 跳过 | 已存在基因组
[2026-04-16 17:57:37] Actinidia arguta | 64478 | 失败 | NCBI未找到
[2026-04-16 17:57:37] Artocarpus camansi | 709039 | 失败 | NCBI未找到
[2026-04-16 17:57:37] Artocarpus heterophyllus | 3489 | 跳过 | 已存在基因组
[2026-04-16 17:57:38] Abelmoschus esculentus | 455045 | 失败 | NCBI未找到
[2026-04-16 17:57:40] Actinidia arguta | 64478 | 失败 | NCBI未找到
[2026-04-16 17:57:40] Artocarpus hirsutus | 291940 | 失败 | NCBI未找到
[2026-04-16 17:57:41] Abies alba | 45372 | 失败 | NCBI未找到
[2026-04-16 17:57:41] Abrus cantoniensis | - | 跳过 | 无TaxID
[2026-04-16 17:57:42] Actinidia arguta | 64478 | 失败 | NCBI未找到
[2026-04-16 17:57:43] Abrus precatorius | 3816 | 失败 | NCBI未找到
[2026-04-16 17:57:43] Acacia confusa | 3809 | 跳过 | 已存在基因组
[2026-04-16 17:57:45] Artocarpus nanchuanensis | 1745975 | 失败 | NCBI未找到
[2026-04-16 17:57:45] Asclepias syriaca | - | 跳过 | 无TaxID
[2026-04-16 17:57:45] Asclepias syriaca | 48545 | 跳过 | 已存在基因组
[2026-04-16 17:57:45] Actinidia arguta | 64478 | 失败 | NCBI未找到
[2026-04-16 17:57:46] Acacia crassicarpa | 499986 | 失败 | NCBI未找到
[2026-04-16 17:57:47] Asparagus kiusianus | 272855 | 失败 | NCBI未找到
[2026-04-16 17:57:47] Asparagus officinalis | 4686 | 跳过 | 已存在基因组
[2026-04-16 17:57:47] Asparagus setaceus | 272863 | 跳过 | 已存在基因组
[2026-04-16 17:57:47] Actinidia arguta | 64478 | 失败 | NCBI未找到
[2026-04-16 17:57:47] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:47] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:47] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:47] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:47] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:47] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:47] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia eriantha | 165200 | 跳过 | 已存在基因组
[2026-04-16 17:57:48] Actinidia eriantha | 165200 | 跳过 | 已存在基因组
[2026-04-16 17:57:49] Acacia pycnantha | 880440 | 失败 | NCBI未找到
[2026-04-16 17:57:49] Acanthochlamys bracteata | 145231 | 跳过 | 已存在基因组
[2026-04-16 17:57:49] Acer catalpifolium | - | 跳过 | 无TaxID
[2026-04-16 17:57:49] Acer negundo | 4023 | 跳过 | 已存在基因组
[2026-04-16 17:57:51] Actinidia hemsleyana | 165707 | 失败 | NCBI未找到
[2026-04-16 17:57:51] Acer palmatum | 66201 | 失败 | NCBI未找到
[2026-04-16 17:57:52] Asterochloris glomerata | 174040 | 失败 | NCBI未找到
[2026-04-16 17:57:52] Astragalus membranaceus | 649199 | 跳过 | 已存在基因组
[2026-04-16 17:57:54] Acer pentaphyllum | 134798 | 失败 | NCBI未找到
[2026-04-16 17:57:55] Astragalus sinicus | 47065 | 失败 | NCBI未找到
[2026-04-16 17:57:56] Actinidia latifolia | 165711 | 失败 | NCBI未找到
[2026-04-16 17:57:57] Acer pseudosieboldianum | 47968 | 失败 | NCBI未找到
[2026-04-16 17:57:58] Astrephomene gubernaculifera | 47775 | 失败 | NCBI未找到
[2026-04-16 17:57:58] Atalantia buxifolia | 76974 | 跳过 | 已存在基因组
[2026-04-16 17:57:58] Actinidia polygama | 64480 | 失败 | NCBI未找到
[2026-04-16 17:58:00] Acer rubrum | 45314 | 失败 | NCBI未找到
[2026-04-16 17:58:00] Acer saccharum | 4024 | 跳过 | 已存在基因组
[2026-04-16 17:58:00] Acer truncatum | 47965 | 跳过 | 已存在基因组
[2026-04-16 17:58:00] Acer yangbiense | 1000413 | 跳过 | 已存在基因组
[2026-04-16 17:58:00] Achnatherum splendens | - | 跳过 | 无TaxID
[2026-04-16 17:58:01] Actinidia rufa | 165716 | 失败 | NCBI未找到
[2026-04-16 17:58:02] Aconitum vilmorinianum | 226101 | 失败 | NCBI未找到
[2026-04-16 17:58:02] Acorus gramineus | 55184 | 跳过 | 已存在基因组
[2026-04-16 17:58:02] Acorus tatarinowii | 123564 | 跳过 | 已存在基因组
[2026-04-16 17:58:03] Atractylodes lancea | 41486 | 失败 | NCBI未找到
[2026-04-16 17:58:04] Actinidia zhejiangensis | 165720 | 失败 | NCBI未找到
[2026-04-16 17:58:05] Actinidia arguta | 64478 | 失败 | NCBI未找到
[2026-04-16 17:58:05] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:58:05] Actinidia eriantha | 165200 | 跳过 | 已存在基因组
[2026-04-16 17:58:07] Adansonia digitata | 69109 | 失败 | NCBI未找到
[2026-04-16 17:58:08] Actinidia hemsleyana | 165707 | 失败 | NCBI未找到
[2026-04-16 17:58:08] Atriplex hortensis | 34272 | 失败 | NCBI未找到
[2026-04-16 17:58:08] Atropa belladonna | 33113 | 跳过 | 已存在基因组
[2026-04-16 17:58:09] Adansonia digitata | 69109 | 失败 | NCBI未找到
[2026-04-16 17:58:11] Aubrieta canescens | 1076948 | 失败 | NCBI未找到
[2026-04-16 17:58:13] Actinidia latifolia | 165711 | 失败 | NCBI未找到
[2026-04-16 17:58:14] Aubrieta macrostyla | 3020387 | 失败 | NCBI未找到
[2026-04-16 17:58:16] Actinidia polygama | 64480 | 失败 | NCBI未找到
[2026-04-16 17:58:16] Adansonia digitata | 69109 | 失败 | NCBI未找到
